Name,Position,Debut,Age,Height,Weight,Matches,Points_Scored,Tries_Scored,Yellow_Cards,Red_Cards
Matias Aguero,Prop,12 Nov 2005,34,184cm,106kg,40,5,1,0,0
Mauro Bergamasco,Back Row,18 Nov 1998,36,185cm,104kg,106,75,15,4,0
Valerio Bernabò,Lock,27 Nov 2004,31,198cm,110kg,27,0,0,0,0
Martin Castrogiovanni,Prop,08 Jun 2002,34,188cm,117kg,115,60,12,4,0
Dario Chistolini,Prop,14 Jun 2014,27,180cm,109kg,13,0,0,0,0
Lorenzo Cittadini,Prop,02 Feb 2008,32,190cm,120kg,44,10,2,0,0
Josh Furno,Lock,20 Aug 2011,26,200cm,108kg,35,10,2,0,0
Marco Fuser,Lock,15 Jun 2012,24,198cm,124kg,6,0,0,0,0
Quintin Geldenhuys,Lock,13 Jun 2009,34,203cm,118kg,61,0,0,2,0
Leonardo Ghiraldini,Hooker,11 Jun 2006,30,184cm,103kg,80,20,4,1,0
Davide Giazzon,Hooker,09 Jun 2012,29,180cm,106kg,24,0,0,1,0
Andrea Manici,Hooker,15 Jun 2013,25,183cm,103kg,16,0,0,0,0
Francesco Minto,Back Row,17 Nov 2012,28,193cm,107kg,23,0,0,1,0
Sergio Parisse,Back Row,08 Jun 2002,32,196cm,112kg,114,68,13,4,0
Michele Rizzo,Prop,25 Jun 2005,33,188cm,110kg,22,5,1,1,1
Samuela Vunisa,Back Row,22 Nov 2014,27,189cm,117kg,11,0,0,0,0
Alessandro Zanni,Back Row,12 Nov 2005,31,188cm,107kg,94,20,4,2,0
Simone Favaro,Back Row,20 Jun 2009,26,183cm,100kg,27,5,1,1,0
Alberto De Marchi,Prop,09 Jun 2012,29,183cm,117kg,29,0,0,1,0
Andrea Lovotti,Prop,0,26,184cm,110kg,0,0,0,0,0
Tommaso Allan,Fly Half,09 Nov 2013,22,184cm,87kg,21,104,3,0,0
Tommaso Benvenuti,Centre,13 Nov 2010,24,187cm,100kg,34,20,4,0,0
Michele Campagnaro,Centre,16 Nov 2013,22,184cm,91kg,18,20,4,0,0
Carlo Canna,Fly Half,22 Aug 2015,23,185cm,90kg,7,3,0,0,0
Gonzalo Garcia,Centre,21 Jun 2008,31,185cm,96kg,39,16,2,3,0
Edoardo Gori,Scrum Half,20 Nov 2010,25,180cm,86kg,47,25,5,1,0
Andrea Masi,Full Back,26 Aug 1999,34,183cm,99kg,95,65,13,2,0
Luke McLean,Full Back,21 Jun 2008,28,190cm,98kg,75,74,7,0,0
Guglielmo Palazzani,Scrum Half,07 Jun 2014,24,173cm,83kg,15,5,1,0,0
Leonardo Sarto,Wing,22 Jun 2013,23,192cm,93kg,23,30,6,0,0
Giovanbattista Venditti,Wing,04 Feb 2012,25,187cm,110kg,33,30,6,1,0
Marcello Violi,Scrum Half,22 Aug 2015,22,176cm,83kg,2,0,0,0,0
Enrico Bacchin,Centre,28 Feb 2015,22,182cm,97kg,5,0,0,0,0
Michele Visentin,Wing,28 Feb 2015,23,184cm,92kg,1,0,0,0,0
